movie_id,title,genre,studio,release_date,budget,runtime_minutes,rating,critic_score,audience_score,total_revenue,tickets_sold,avg_occupancy
1,The Last Stand,Action,Universal,2024-01-15,150.5,142,PG-13,85,88,25843250,215360,77.5
2,Laugh Out Loud,Comedy,Warner Bros,2024-01-20,45.8,98,PG,72,82,18675325,155628,68.2
3,Midnight Mystery,Thriller,A24,2024-01-22,15.2,115,R,92,79,12548075,104567,72.8
4,Space Odyssey 2024,Sci-Fi,Disney,2024-01-25,200.3,165,PG-13,88,91,35267890,293899,85.4
5,Sweet Romance,Romance,Sony Pictures,2024-01-28,35.6,108,PG,76,85,9876540,82304,65.7
6,Horror House,Horror,Lionsgate,2024-01-30,25.4,95,R,68,73,7654320,63786,58.9
7,Desert Warriors,Action,Paramount,2024-02-01,175.2,155,PG-13,79,84,28765430,239712,79.3
8,Family Fun,Comedy,Disney,2024-02-03,65.7,101,PG,81,87,15432680,128606,71.5
9,Mind Games,Thriller,A24,2024-02-05,18.9,118,R,94,88,8765430,73045,69.8
10,Future World,Sci-Fi,Universal,2024-02-08,185.4,158,PG-13,86,89,31254780,260456,82.1
11,City Lights,Drama,Sony Pictures,2024-02-10,42.3,122,PG-13,91,86,11234567,93621,67.4
12,Mountain Peak,Adventure,Warner Bros,2024-02-12,125.8,138,PG-13,83,85,22345678,186214,75.8
13,Dance Night,Comedy,Lionsgate,2024-02-15,38.9,96,PG,77,83,9876543,82304,64.3
14,Dark Waters,Horror,A24,2024-02-17,28.6,102,R,85,76,6543210,54527,59.2
15,Time Loop,Sci-Fi,Paramount,2024-02-20,145.7,148,PG-13,89,92,27654321,230453,81.7
16,Love Story,Romance,Universal,2024-02-22,48.5,112,PG-13,75,88,12345678,102881,68.9
17,Street Chase,Action,Disney,2024-02-25,165.3,145,PG-13,82,86,29876543,248971,80.4
18,Funny Business,Comedy,Sony Pictures,2024-02-27,55.4,99,PG,78,84,14567890,121399,70.2
19,Deep Secret,Thriller,Warner Bros,2024-03-01,22.8,125,R,88,82,9876543,82304,66.5
20,Star Voyager,Sci-Fi,Universal,2024-03-03,195.6,162,PG-13,87,90,33456789,278807,83.6
21,Heart Beats,Romance,A24,2024-03-05,32.4,105,PG-13,84,89,8765432,73045,65.1
22,Night Terror,Horror,Lionsgate,2024-03-08,31.2,98,R,71,75,7654321,63786,57.8
23,Golden Age,Drama,Paramount,2024-03-10,85.9,135,PG-13,93,87,18765432,156379,73.6
24,Island Adventure,Adventure,Disney,2024-03-12,155.4,152,PG-13,86,88,26543210,221193,78.9
25,Comedy Club,Comedy,Warner Bros,2024-03-15,42.6,97,PG,79,85,11234567,93621,67.8
26,Shadow Walker,Thriller,A24,2024-03-17,19.8,116,R,90,84,8765432,73045,68.4
27,Cyber World,Sci-Fi,Universal,2024-03-20,175.8,156,PG-13,85,88,30987654,258230,81.3
28,Summer Love,Romance,Sony Pictures,2024-03-22,45.7,110,PG-13,77,86,10987654,91564,66.7
29,Action Heroes,Action,Paramount,2024-03-25,185.4,149,PG-13,81,85,31234567,260288,79.8
30,Laugh Factory,Comedy,Disney,2024-03-27,58.9,100,PG,80,86,13456789,112140,69.5
31,Murder Mystery,Thriller,Warner Bros,2024-03-30,25.6,122,R,87,83,9876543,82304,67.2
32,Galaxy Quest,Sci-Fi,Universal,2024-04-01,165.7,159,PG-13,88,91,28765432,239712,82.4
33,City Dreams,Drama,A24,2024-04-03,38.9,118,PG-13,92,88,10987654,91564,68.1
34,Mountain Rescue,Adventure,Lionsgate,2024-04-05,115.6,142,PG-13,84,87,21234567,177288,76.3
35,Wedding Day,Comedy,Sony Pictures,2024-04-08,52.3,95,PG,76,84,12345678,102881,65.9
36,Dark House,Horror,Paramount,2024-04-10,29.8,97,R,73,77,6789012,56575,58.4
37,Time Travel,Sci-Fi,Disney,2024-04-12,155.9,151,PG-13,86,89,27654321,230453,80.7
38,Love Letters,Romance,Warner Bros,2024-04-15,41.2,108,PG-13,78,87,11234567,93621,67.5
39,Fast Chase,Action,Universal,2024-04-17,195.4,147,PG-13,83,86,32345678,269547,81.2
40,Comedy Hour,Comedy,A24,2024-04-20,48.7,96,PG,81,85,13456789,112140,69.8
41,Hidden Truth,Thriller,Lionsgate,2024-04-22,21.5,119,R,89,84,8765432,73045,66.9
42,Space Station,Sci-Fi,Paramount,2024-04-25,185.6,160,PG-13,87,90,30987654,258230,82.8
43,First Kiss,Romance,Sony Pictures,2024-04-27,38.9,106,PG-13,79,88,9876543,82304,65.4
44,Night Watch,Horror,Disney,2024-04-30,32.4,99,R,72,76,7654321,63786,58.7
45,Historical Drama,Drama,Warner Bros,2024-05-02,75.6,132,PG-13,91,86,16543210,137860,72.9
46,Jungle Quest,Adventure,Universal,2024-05-05,145.7,150,PG-13,85,87,25432109,211934,77.6
47,Stand Up,Comedy,A24,2024-05-07,44.5,94,PG,78,83,12345678,102881,68.3
48,Crime Scene,Thriller,Paramount,2024-05-10,23.4,121,R,86,82,9876543,82304,67.6
49,Robot Wars,Sci-Fi,Sony Pictures,2024-05-12,165.8,157,PG-13,84,88,28765432,239712,80.9
50,Beach Romance,Romance,Warner Bros,2024-05-15,43.2,109,PG-13,76,85,10987654,91564,66.2